EIN|Name|City|State|Status
010060379|Healing and Deliverance Ministry Inc.|Clarksburg|MD|United States|PC
010271792|Bearnstow|Arlington|VA|United States|PC
010466768|American University in Bulgaria|Washington|DC|United States|PC
010472527|Louis C Talarico Scholarship Fund|Hanover|MD|United States|PF
010490759|P A T T|Washington|DC|United States|PC
010494386|Institute of Maritime History|Tall Timbers|MD|United States|PC
010539770|Next Generation Foundation|Crownsville|MD|United States|PF
010547918|Main Street Mobile Treatment Associates Inc.|Reisterstown|MD|United States|PC
010549978|The Plan Ministries Inc.|Suitland|MD|United States|PC
010550223|Association of Forensic Quality Assurance Managers|Virginia Bch|VA|United States|PC
010551546|Faithworks Inc.|Winchester|VA|United States|PC
010551639|Revelation Knowledge Christian Church|Washington|DC|United States|PC
010238760|Brick Store Art Museum|Kennebunk|ME|United States|PC
010239549|The Grand Council of Royal and Select Masters of the State|Gardiner|ME|United States|EO,LODGE
010239808|Lincoln County Historical Association|Wiscasset|ME|United States|PC
010241055|Maine Secondary School Principals Association|Augusta|ME|United States|PC
010241528|Southwest Harbor Public Library|Southwest Hbr|ME|United States|PC
010241767|United Way Inc.|Portland|ME|United States|PC
010241920|Holmestead Inc.|Calais|ME|United States|PC
010242095|Robert W Traip Academy Athletic Boosters|Kittery|ME|United States|SOUNK
010243254|Morrison Center|Scarborough|ME|United States|PC
010243548|Haystack Mountain School of Crafts|Deer Isle|ME|United States|PC
010243866|Maine Maritime Academy Alumni Association Incorporated|Castine|ME|United States|PC
010244457|New England Electric Railway Historical Society|Kennebunkport|ME|United States|PC
010245261|Erskine Academy|South China|ME|United States|PC
010551686|Joe and Missy Walsh Foundation|Potomac|MD|United States|PF
010554700|Peace Corps Foundation|Washington|DC|United States|PC
010557037|Share and Care Cockayne Syndrome Network Inc.|Waterford|VA|United States|PC
010557108|Bath-Highland County Volunteer Fire Department|Williamsville|VA|United States|PC
010557881|Grandin Theatre Foundation Inc.|Roanoke|VA|United States|PC
010560112|Metropolitan School of the Arts|Alexandria|VA|United States|PC
010561556|Team Richmond Aau Basketball Assn|N Chesterfld|VA|United States|PC
010562533|Rlmva Inc.|Virginia Bch|VA|United States|PC
010562898|Solid Union Ministries Inc.|Brookeville|MD|United States|PC
010563200|C Elizabeth Rieg Parent Teacher Organization|Bowie|MD|United States|PC
010564259|Freemuslim Association Inc.|Washington|DC|United States|PC
010564710|Home in Him|Midlothian|VA|United States|PC
010568739|Korean American Foundation-Greater Washington|Brookeville|MD|United States|PC
010570343|North Lincoln Park Neighborhood Association|Washington|DC|United States|PC
010574092|Association of Richmond Tennis Professionals|Richmond|VA|United States|PC
010576963|La Plata Church of Christ|La Plata|MD|United States|PC
010578410|Catoctin Land Trust Inc.|Frederick|MD|United States|PC
010579796|America Abroad Media|Washington|DC|United States|PC
010580528|Concerts by the Bay Inc.|North|VA|United States|PC
010580596|Talbot Community Connections Inc.|Easton|MD|United States|PC
010582722|First Vietnamese Baptist Church|Riverdale|MD|United States|PC
010583325|Kids Soar|Roanoke|VA|United States|PC
010583568|Nurmi Family Foundation|Washington|DC|United States|PF
010583866|Obscure Organization|Arlington|VA|United States|PC
010588381|District of Columbia Chamber of Commerce Foundation|Washington|DC|United States|PC
010588746|Celestial Manna Inc.|Derwood|MD|United States|PC
010591741|Providence Players of Fairfax|Fairfax|VA|United States|PC
010591773|Congregation Yalkut Ha Urim Inc.|Baltimore|MD|United States|PC
010591843|Chesapeake Bay Breakers Basketball Association|Crofton|MD|United States|PC
010592129|Flinstone Civic Improvement Association|Flintstone|MD|United States|PC
010593565|The One Campaign|Washington|DC|United States|PC
010594671|Gilead Community Development Corporation Inc.|Williamsburg|VA|United States|PC
010596305|Rescuegroups Org Inc.|Bowie|MD|United States|PC
010596543|Ashburn Travel Hockey Inc.|Ashburn|VA|United States|PC
010599914|Together With Pride Foundation Inc.|Silver Spring|MD|United States|PC
010602074|Sleepy Hollow No Kill Feline Shelter|Spout Spring|VA|United States|PC
010604102|Kavod Vnichum|Columbia|MD|United States|PC
010605122|Remington Community Partnership Inc.|Remington|VA|United States|PC
010605666|Richmond Kannada Sangha Inc.|Henrico|VA|United States|PC
010608536|Fairhaven Residents Association Inc.|Sykesville|MD|United States|PC
010609601|Strong Tower Deliverance Center|Baltimore|MD|United States|PC
010610272|Bride of Christ Church Ministries|Bowie|MD|United States|PC
010613166|Bring It to Life Ministries|Baltimore|MD|United States|PC
010614894|Mount Vernon Crew Boosters Inc.|Mount Vernon|VA|United States|PC
010615004|Cani Center for Wisdom & Wholeness|Portsmouth|VA|United States|PC
010615097|Keys of Faith Ministries|Baltimore|MD|United States|PC
010615518|Harford Business Roundtable for Education Inc.|Street|MD|United States|PC
010617510|Delmarva Cat Connection Inc.|Ocean Pines|MD|United States|PC
010618778|First Ame Church of Alexandria|Alexandria|VA|United States|PC
010621392|Pizzazz|Washington|DC|United States|PC
